code,en_name,ja_name
xx,Any language is OK!,どの言語でもOK！
is,Icelandic,アイスランド語
ay,Aymara,アイマラ語
ga,Irish,アイルランド語
av,Avaric,アヴァル語
ae,Avestan,アヴェスター語
ak,Akan,アカン語
az,Azerbaijani,アゼルバイジャン語
as,Assamese,アッサム語
aa,Afar,アファル語
ab,Abkhazian,アブハズ語
af,Afrikaans,アフリカーンス語
am,Amharic,アムハラ語
an,Aragonese,アラゴン語
ar,Arabic,アラビア語
sq,Albanian,アルバニア語
hy,Armenian,アルメニア語
it,Italian,イタリア語
yi,Yiddish,イディッシュ語
io,Ido,イド語
iu,Inuktitut,イヌクティトゥット語
ik,Inupiaq,イヌピアック語
ig,Igbo,イボ語
ie,Interlingue; Occidental,インターリング
ia,Interlingua,インターリングア
id,Indonesian,インドネシア語
ug,Uighur,ウイグル語
cy,Welsh,ウェールズ語
ve,Venda,ヴェンダ語
vo,Volapük,ヴォラピュク
wo,Wolof,ウォロフ語
uk,Ukrainian,ウクライナ語
uz,Uzbek,ウズベク語
ur,Urdu,ウルドゥー語
ee,Ewe,エウェ語
et,Estonian,エストニア語
eo,Esperanto,エスペラント
oj,Ojibwa,オジブウェー語
os,Ossetian,オセット語
oc,Occitan,オック語
nl,Dutch; Flemish,オランダ語
or,Oriya,オリヤー語
om,Oromo,オロモ語
kk,Kazakh,カザフ語
ks,Kashmiri,カシミール語
ca,Catalan; Valencian,カタルーニャ語、バレンシア語
kr,Kanuri,カヌリ語
gl,Galician,ガリシア語
kn,Kannada,カンナダ語
ki,Kikuyu; Gikuyu,キクユ語
el,"Greek, Modern",ギリシア語
ky,Kirghiz; Kyrgyz,キルギス語
gn,Guarani,グアラニー語
gu,Gujarati,グジャラート語
km,Central Khmer,クメール語
kl,Kalaallisut,グリーンランド語
cr,Cree,クリー語
ka,Georgian,グルジア語
ku,Kurdish,クルド語
hr,Croatian,クロアチア語
kj,Kuanyama,クワニャマ語
qu,Quechua,ケチュア語
kw,Cornish,コーンウォール語
xh,Xhosa,コサ語
kv,Komi,コミ語
co,Corsican,コルシカ語
kg,Kongo,コンゴ語
sm,Samoan,サモア語
sc,Sardinian,サルデーニャ語
sg,Sango,サンゴ語
sa,Sanskrit,サンスクリット
jv,Javanese,ジャワ語
sn,Shona,ショナ語
sd,Sindhi,シンド語
si,Sinhala,シンハラ語
sv,Swedish,スウェーデン語
zu,Zulu,ズールー語
gd,Gaelic,スコットランド・ゲール語
es,Spanish; Castilian,スペイン語
sk,Slovak,スロバキア語
sl,Slovenian,スロベニア語
ss,Swati,スワジ語
sw,Swahili,スワヒリ語
su,Sundanese,スンダ語
sr,Serbian,セルビア語
st,Sotho,ソト語
so,Somali,ソマリ語
dz,Dzongkha,ゾンカ語
th,Thai,タイ語
tl,Tagalog,タガログ語
tg,Tajik,タジク語
tt,Tatar,タタール語
ty,Tahitian,タヒチ語
ta,Tamil,タミル語
cs,Czech,チェコ語
ce,Chechen,チェチェン語
ny,Chichewa,チェワ語
bo,Tibetan,チベット語
ch,Chamorro,チャモロ語
cv,Chuvash,チュヴァシ語
za,Zhuang,チワン語
ts,Tsonga,ツォンガ語
tn,Tswana,ツワナ語
ti,Tigrinya,ティグリニャ語
dv,Divehi,ディベヒ語
te,Telugu,テルグ語
da,Danish,デンマーク語
de,German,ドイツ語
tw,Twi,トウィ語
